CollectionID	sample	Box	PrepDate	BodySize	ColonySize_L	ColonySize_U	ColonySize	Sample_or_Control	Genus	Species	Number_Bees	Country	Area	Preservation	Continent	Region
447	M090	6	6/11/23	6.014	5000	180000	Enormous	True_Sample	Trigona	spinipes	5	Brazil	SP, Ribeirao Preto	NA	South_America	Neotropics
447	M092	6	6/11/23	6.014	5000	180000	Enormous	True_Sample	Trigona	spinipes	5	Brazil	SP, Ribeirao Preto	NA	South_America	Neotropics
447	M093	6	6/11/23	6.014	5000	180000	Enormous	True_Sample	Trigona	spinipes	5	Brazil	SP, Ribeirao Preto	NA	South_America	Neotropics
447	M094	6	6/11/23	6.014	5000	180000	Enormous	True_Sample	Trigona	spinipes	5	Brazil	SP, Ribeirao Preto	NA	South_America	Neotropics
448	M052	6	3/11/23	4.938	NA	1900	Medium	True_Sample	Oxytrigona	tataira	5	Brazil	SP, Ribeirao Preto	NA	South_America	Neotropics
448	M053	6	3/11/23	4.938	NA	1900	Medium	True_Sample	Oxytrigona	tataira	5	Brazil	SP, Ribeirao Preto	NA	South_America	Neotropics
448	M054	6	3/11/23	4.938	NA	1900	Medium	True_Sample	Oxytrigona	tataira	5	Brazil	SP, Ribeirao Preto	NA	South_America	Neotropics
448	M055	6	3/11/23	4.938	NA	1900	Medium	True_Sample	Oxytrigona	tataira	5	Brazil	SP, Ribeirao Preto	NA	South_America	Neotropics
448	M056	6	3/11/23	4.938	NA	1900	Medium	True_Sample	Oxytrigona	tataira	5	Brazil	SP, Ribeirao Preto	NA	South_America	Neotropics
449	M079	6	6/11/23	5.804	2000	7000	Large	True_Sample	Lestrimelitta	limao	5	Brazil	SP, Ribeirao Preto	NA	South_America	Neotropics
450	M070	6	6/11/23	4.46	2000	3000	Large	True_Sample	Nannotrigona	testaceicornis	5	Brazil	SP, Ribeirao Preto	NA	South_America	Neotropics
450	M071	6	6/11/23	4.46	2000	3000	Large	True_Sample	Nannotrigona	testaceicornis	5	Brazil	SP, Ribeirao Preto	NA	South_America	Neotropics
450	M072	6	6/11/23	4.46	2000	3000	Large	True_Sample	Nannotrigona	testaceicornis	5	Brazil	SP, Ribeirao Preto	NA	South_America	Neotropics
