SampleID	CollectionID	Bee_Genus	Bee_Species	Box	PrepDate	BodySize_IT_uM	ColonySize_L	ColonySize_U	ColonySize
M015	229	Tetragonula	hockingsi	2	01/11/2023	4.026	3000	7000	Large 
M181	119	Lestrimelitta	limao	15	08/11/2023	6.041	2000	7000	Large 
M182	119	Lestrimelitta	limao	15	08/11/2023	6.041	2000	7000	Large 
M078	469	Lestrimelitta	limao	6	06/11/2023	5.804	2000	7000	Large 
M079	449	Lestrimelitta	limao	6	06/11/2023	5.804	2000	7000	Large 
M180	40	Lestrimelitta	limao	15	08/11/2023	5.636	2000	7000	Large 
M159	134	Tetragonisca	angustula	14	08/11/2023	3.893	300	8000	Large 
M158	132	Tetragonisca	angustula	14	08/11/2023	3.833	300	8000	Large 
M080	467	Tetragonisca	angustula	6	06/11/2023	3.737	300	8000	Large 
M081	451	Tetragonisca	angustula	6	06/11/2023	3.737	300	8000	Large 
M160	300	Tetragonisca	angustula	14	08/11/2023	3.566	300	8000	Large 
M118	58	Trigona	cilipes	8	08/11/2023	5.865	400	8000	Large 
M120	182	Trigona	fulviventris	8	08/11/2023	5.947	2000	10000	XLarge
M121	180	Trigona	fulviventris	8	08/11/2023	5.456	2000	10000	XLarge
M123	332	Trigona	fulviventris	8	08/11/2023	5.393	2000	10000	XLarge
M119	181	Trigona	fulviventris	8	08/11/2023	4.992	2000	10000	XLarge
M122	183	Trigona	fulviventris	8	08/11/2023	4.877	2000	10000	XLarge
M107	213	Trigona	fuscipennis	7	08/11/2023	5.32	1200	10000	XLarge
M082	458	Trigona	fuscipennis	6	06/11/2023	5.238	1200	10000	XLarge
M083	458	Trigona	fuscipennis	6	06/11/2023	5.238	1200	10000	XLarge
M084	458	Trigona	fuscipennis	6	06/11/2023	5.238	1200	10000	XLarge
M085	458	Trigona	fuscipennis	6	06/11/2023	5.238	1200	10000	XLarge
M161	331	Duckeola	ghilianii	14	08/11/2023	8.595		10000	XLarge
M143	165	Scaptotrigona	postica	11	08/11/2023	6.128	6000	10000	XLarge
M144	165	Scaptotrigona	postica	11	08/11/2023	6.128	6000	10000	XLarge
M145	165	Scaptotrigona	postica	11	08/11/2023	6.128	6000	10000	XLarge
M146	165	Scaptotrigona	postica	11	08/11/2023	6.128	6000	10000	XLarge
M147	165	Scaptotrigona	postica	11	08/11/2023	6.128	6000	10000	XLarge
M016	228	Tetragonula	carbonaria	2	01/11/2023	4.212	2500	11000	XLarge
M017	228	Tetragonula	carbonaria	2	01/11/2023	4.212	2500	11000	XLarge
M018	228	Tetragonula	carbonaria	2	01/11/2023	4.212	2500	11000	XLarge
M187	628	Trigona	silvestriana	16	08/11/2023	9.585	9000	12000	XLarge
M186	629	Trigona	silvestriana	16	08/11/2023	9.281	9000	12000	XLarge
M109	186	Trigona	silvestriana	7	08/11/2023	7.078	9000	12000	XLarge
M110	184	Trigona	silvestriana	7	08/11/2023	6.686	9000	12000	XLarge
M108	188	Trigona	silvestriana	7	08/11/2023	5.904	9000	12000	XLarge
M112	219	Trigona	corvina	7	08/11/2023	5.462	7000	25000	XLarge
M111	216	Trigona	corvina	7	08/11/2023	5.411	7000	25000	XLarge
M086	468	Tetragona	clavipes	6	06/11/2023	6.152	5383	29000	XLarge
M087	452	Tetragona	clavipes	6	06/11/2023	6.152	5383	29000	XLarge
M163	84	Tetragona	clavipes	14	08/11/2023	6.106	5383	29000	XLarge
M162	1	Tetragona	clavipes	14	08/11/2023	5.67	5383	29000	XLarge
M164	56	Tetragona	clavipes	14	08/11/2023	5.437	5383	29000	XLarge
M088	459	Trigona	hyalinata	6	06/11/2023	6.685		40000	XLarge
M089	459	Trigona	hyalinata	6	06/11/2023	6.685		40000	XLarge
M090	447	Trigona	spinipes	6	06/11/2023	6.014	5000	180000	Enormous
M091	447	Trigona	spinipes	6	06/11/2023	6.014	5000	180000	Enormous
M092	447	Trigona	spinipes	6	06/11/2023	6.014	5000	180000	Enormous
M093	447	Trigona	spinipes	6	06/11/2023	6.014	5000	180000	Enormous
M094	447	Trigona	spinipes	6	06/11/2023	6.014	5000	180000	Enormous
M113	200	Trigona	amazonensis	7	08/11/2023	7.145	100000	200000	Enormous
M114	200	Trigona	amazonensis	7	08/11/2023	7.145	100000	200000	Enormous
M115	200	Trigona	amazonensis	7	08/11/2023	7.145	100000	200000	Enormous
