sample	CollectionID	Genus	Species	Box	PrepDate	BodySize(IT)uM	ColonySize(L)	ColonySize(U)	ColonySize	Sample_or_Control 
M164	56	Tetragona	clavipes	14	8/11/23	5.437	5383	29000	XLarge	True_Sample
M088	459	Trigona	hyalinata	6	6/11/23	6.685		40000	XLarge	True_Sample
M089	459	Trigona	hyalinata	6	6/11/23	6.685		40000	XLarge	True_Sample
M090	447	Trigona	spinipes	6	6/11/23	6.014	5000	180000	Enormous	True_Sample
M091	447	Trigona	spinipes	6	6/11/23	6.014	5000	180000	Enormous	True_Sample
M092	447	Trigona	spinipes	6	6/11/23	6.014	5000	180000	Enormous	True_Sample
M093	447	Trigona	spinipes	6	6/11/23	6.014	5000	180000	Enormous	True_Sample
M094	447	Trigona	spinipes	6	6/11/23	6.014	5000	180000	Enormous	True_Sample
M113	200	Trigona	amazonensis	7	8/11/23	7.145	100000	200000	Enormous	True_Sample
M114	200	Trigona	amazonensis	7	8/11/23	7.145	100000	200000	Enormous	True_Sample
M115	200	Trigona	amazonensis	7	8/11/23	7.145	100000	200000	Enormous	True_Sample
M116	200	Trigona	amazonensis	7	8/11/23	7.145	100000	200000	Enormous	True_Sample
M117	200	Trigona	amazonensis	7	8/11/23	7.145	100000	200000	Enormous	True_Sample
MP1ExBl	NA	NA	NA	NA	NA	NA	NA	NA	NA	Control_Sample
MP2ExBl	NA	NA	NA	NA	NA	NA	NA	NA	NA	Control_Sample
MuP1ExBl	NA	NA	NA	NA	NA	NA	NA	NA	NA	Control_Sample
MUP2ExBl	NA	NA	NA	NA	NA	NA	NA	NA	NA	Control_Sample
